topic,date,answer,pct
2025 Approval - Trump,2025-05-07,Approve,44
2025 Approval - Trump,2025-05-07,Disapprove,51.4
2025 Approval - Trump,2025-05-08,Approve,44
2025 Approval - Trump,2025-05-08,Disapprove,51.4
2025 Approval - Trump,2025-05-09,Approve,44.1
2025 Approval - Trump,2025-05-09,Disapprove,51.5
2025 Approval - Trump,2025-05-10,Approve,44.1
2025 Approval - Trump,2025-05-10,Disapprove,51.5
2025 Approval - Trump,2025-05-11,Approve,44.1
2025 Approval - Trump,2025-05-11,Disapprove,51.5
2025 Approval - Trump,2025-05-12,Approve,43.9
2025 Approval - Trump,2025-05-12,Disapprove,51.3
2025 Approval - Trump,2025-05-13,Approve,44.4
2025 Approval - Trump,2025-05-13,Disapprove,51.5
2025 Approval - Trump,2025-05-14,Approve,44.5
2025 Approval - Trump,2025-05-14,Disapprove,51.5
2025 Approval - Trump,2025-05-15,Approve,44.5
2025 Approval - Trump,2025-05-15,Disapprove,51.5
2025 Approval - Trump,2025-05-16,Approve,44.9
2025 Approval - Trump,2025-05-16,Disapprove,51.4
2025 Approval - Trump,2025-05-17,Approve,44.9
2025 Approval - Trump,2025-05-17,Disapprove,51.4
2025 Approval - Trump,2025-05-18,Approve,44.9
2025 Approval - Trump,2025-05-18,Disapprove,51.3
2025 Approval - Trump,2025-05-19,Approve,45.4
2025 Approval - Trump,2025-05-19,Disapprove,50.9
2025 Approval - Trump,2025-05-20,Approve,45.2
2025 Approval - Trump,2025-05-20,Disapprove,50.6
2025 Approval - Trump,2025-05-21,Approve,45.1
2025 Approval - Trump,2025-05-21,Disapprove,51
2025 Approval - Trump,2025-05-22,Approve,45.1
2025 Approval - Trump,2025-05-22,Disapprove,51.1
2025 Approval - Trump,2025-05-23,Approve,44.8
2025 Approval - Trump,2025-05-23,Disapprove,51.2
2025 Approval - Trump,2025-05-24,Approve,44.8
2025 Approval - Trump,2025-05-24,Disapprove,51.3
2025 Approval - Trump,2025-05-25,Approve,44.8
2025 Approval - Trump,2025-05-25,Disapprove,51.3
2025 Approval - Trump,2025-05-26,Approve,44.8
2025 Approval - Trump,2025-05-26,Disapprove,51.3
2025 Approval - Trump,2025-05-27,Approve,45.2
2025 Approval - Trump,2025-05-27,Disapprove,51.4
2025 Approval - Trump,2025-05-28,Approve,44.6
2025 Approval - Trump,2025-05-28,Disapprove,51.8
2025 Approval - Trump,2025-05-29,Approve,44.6
2025 Approval - Trump,2025-05-29,Disapprove,51.8
2025 Approval - Trump,2025-05-30,Approve,44.6
2025 Approval - Trump,2025-05-30,Disapprove,51.9
2025 Approval - Trump,2025-05-31,Approve,44.6
2025 Approval - Trump,2025-05-31,Disapprove,51.9
2025 Approval - Trump,2025-06-01,Approve,44.6
2025 Approval - Trump,2025-06-01,Disapprove,52
2025 Approval - Trump,2025-06-02,Approve,44.8
2025 Approval - Trump,2025-06-02,Disapprove,51.5
2025 Approval - Trump,2025-06-03,Approve,45.6
2025 Approval - Trump,2025-06-03,Disapprove,50.4
2025 Approval - Trump,2025-06-04,Approve,45.6
2025 Approval - Trump,2025-06-04,Disapprove,50.4
2025 Approval - Trump,2025-06-05,Approve,45.6
2025 Approval - Trump,2025-06-05,Disapprove,50.4
2025 Approval - Trump,2025-06-06,Approve,45.8
2025 Approval - Trump,2025-06-06,Disapprove,49.9
2025 Approval - Trump,2025-06-07,Approve,45.8
2025 Approval - Trump,2025-06-07,Disapprove,49.9
2025 Approval - Trump,2025-06-08,Approve,45.8
2025 Approval - Trump,2025-06-08,Disapprove,51.1
2025 Approval - Trump,2025-06-09,Approve,45.9
2025 Approval - Trump,2025-06-09,Disapprove,51.8
2025 Approval - Trump,2025-06-10,Approve,45.3
2025 Approval - Trump,2025-06-10,Disapprove,50.9
2025 Approval - Trump,2025-06-11,Approve,44.6
2025 Approval - Trump,2025-06-11,Disapprove,51.2
2025 Approval - Trump,2025-06-12,Approve,43.8
2025 Approval - Trump,2025-06-12,Disapprove,51.9
2025 Approval - Trump,2025-06-13,Approve,44.1
2025 Approval - Trump,2025-06-13,Disapprove,51.7
2025 Approval - Trump,2025-06-14,Approve,44.1
2025 Approval - Trump,2025-06-14,Disapprove,51.7
2025 Approval - Trump,2025-06-15,Approve,44.1
2025 Approval - Trump,2025-06-15,Disapprove,51.7
2025 Approval - Trump,2025-06-16,Approve,44.1
2025 Approval - Trump,2025-06-16,Disapprove,52.1
2025 Approval - Trump,2025-06-17,Approve,43.9
2025 Approval - Trump,2025-06-17,Disapprove,52.5
2025 Approval - Trump,2025-06-18,Approve,44.7
2025 Approval - Trump,2025-06-18,Disapprove,52.7
2025 Approval - Trump,2025-06-19,Approve,44.7
2025 Approval - Trump,2025-06-19,Disapprove,52.7
2025 Approval - Trump,2025-06-20,Approve,44.9
2025 Approval - Trump,2025-06-20,Disapprove,52.5
2025 Approval - Trump,2025-06-21,Approve,45
2025 Approval - Trump,2025-06-21,Disapprove,52.3
2025 Approval - Trump,2025-06-22,Approve,45.1
2025 Approval - Trump,2025-06-22,Disapprove,52.4
2025 Approval - Trump,2025-06-23,Approve,44.5
2025 Approval - Trump,2025-06-23,Disapprove,52.9
2025 Approval - Trump,2025-06-24,Approve,43.9
2025 Approval - Trump,2025-06-24,Disapprove,53.1
2025 Approval - Trump,2025-06-25,Approve,43.9
2025 Approval - Trump,2025-06-25,Disapprove,53.1
2025 Approval - Trump,2025-06-26,Approve,44.1
2025 Approval - Trump,2025-06-26,Disapprove,53.1
2025 Approval - Trump,2025-06-27,Approve,44.2
2025 Approval - Trump,2025-06-27,Disapprove,52.4
2025 Approval - Trump,2025-06-28,Approve,44.2
2025 Approval - Trump,2025-06-28,Disapprove,52.4
2025 Approval - Trump,2025-06-29,Approve,44.2
2025 Approval - Trump,2025-06-29,Disapprove,52.4
2025 Approval - Trump,2025-06-30,Approve,44.5
2025 Approval - Trump,2025-06-30,Disapprove,51.8
2025 Approval - Trump,2025-07-01,Approve,44.4
2025 Approval - Trump,2025-07-01,Disapprove,51.8
